ID;Rooms;District;Meters;Floor;House;Price;Interier
228287789;1;Железнодорожный;31.0/18.0/5.0;5/5; Панельный;1850000;Косметический
228313907;3;Красноглинский;86.56/42.3/15.0;2/10; Кирпичный;3585350;Нет данных
228313908;3;Красноглинский;86.56/42.3/15.0;3/10; Кирпичный;3639848;Нет данных
228313911;3;Красноглинский;86.56/42.3/15.0;5/10; Кирпичный;3639848;Нет данных
228313912;3;Красноглинский;86.56/42.3/15.0;6/10; Кирпичный;3639848;Нет данных
228313913;3;Красноглинский;86.56/42.3/15.0;7/10; Кирпичный;3639848;Нет данных
228313914;3;Красноглинский;86.56/42.3/15.0;8/10; Кирпичный;3639848;Нет данных
228313915;3;Красноглинский;86.56/42.3/15.0;9/10; Кирпичный;3596568;Нет данных
228313916;3;Красноглинский;86.56/42.3/15.0;10/10; Кирпичный;3553288;Нет данных
228313920;2;Красноглинский;59.46/35.1/9.0;6/10; Кирпичный;2583537;Нет данных
228323974;2;Железнодорожный;50.0/28.1/9.0;20/22; Монолитный;3850000;Нет данных
228337861;4;Самарский;220.0/95.0/41.5;9/9;Нет данных;23400000;Нет данных
228337875;2;Промышленный;35.0/25.0/5.0;2/2;Нет данных;1600000;Нет данных
228337881;3;Самарский;160.0/105.0/17.0;2/6;Нет данных;13600000;Нет данных
228365217;2;Промышленный;38.6/28.4;9/9;Нет данных;1300000;Косметический
228392104;2;Железнодорожный;44.0/30.0/6.0;5/5; Панельный;2300000;Косметический
228411656;2;Советский;50.0/31.0/10.0;8/9; Кирпичный;2350000;Косметический
228474858;1;Кировский;36.5/17.8/9.0;1/6;Нет данных;1650000;Без ремонта
228521432;3;Промышленный;53.0/36.0/6.0;5/5; Кирпичный;2600000;Косметический
228526870;1;Кировский;30.8/16.9/6.8;1/5;Нет данных;1700000;Косметический
228541469;2;Железнодорожный;45.0/34.0/6.0;5/5;Нет данных;2200000;Косметический
228631523;2;Железнодорожный;125.0;1/3;Нет данных;3550000;Нет данных
228751819;2;Промышленный;43.2/30.8/6.0;4/4; Кирпичный;2650000;Косметический
228751822;3;Железнодорожный;66.4/46.4/9.2;11/12; Панельный;4100000;Косметический
228751828;1;Промышленный;15.0/10.0/5.0;3/5; Кирпичный;950000;Косметический
229032291;4;Промышленный;64.8/47.6/5.0;5/5; Кирпичный;2480000;Косметический
229032293;2;Кировский;41.0/28.0/6.0;1/5; Кирпичный;2300000;Косметический
229032306;4;Ленинский;190.0/110.0/20.0;6/10; Кирпичный;9700000;Косметический
229104973;1;Кировский;33.0;2/5;Нет данных;1800000;Нет данных
229105050;2;Самарский;67.0/35.0/13.0;3/9;Нет данных;5800000;Без ремонта
229105077;2;Ленинский;53.5/32.0/10.0;9/9;Нет данных;3565000;Косметический
229105095;3;Железнодорожный;70.7/51.6/6.9;7/9;Нет данных;4400000;Косметический
229105101;2;Железнодорожный;58.3/27.0/9.5;5/9;Нет данных;4850000;Косметический
229105181;3;Самарский;131.9/69.4/16.0;2/9;Нет данных;10499000;Дизайнерский
229105577;1;Кировский;21.1/12.6/5.5;1/9;Нет данных;1300000;Без ремонта
229105746;2;Ленинский;49.3;1/12;Нет данных;3120000;Нет данных
229105800;4;Самарский;105.8;1/8;Нет данных;8600000;Нет данных
229105826;2;Самарский;220.0/96.0;1/3;Нет данных;4900000;Нет данных
229105983;1;Кировский;21.1;4/9;Нет данных;1600000;Косметический
229114652;4;Самарский;122.7/55.8/30.9;5/6; Кирпичный;7950000;Косметический
229124538;3;Самарский;143.0/94.0/18.0;3/9; Кирпичный;14100000;Дизайнерский
229221595;3;Самарский;63.0/44.0/11.7;1/2;Нет данных;2250000;Косметический
229286837;3;Самарский;69.5/46.0/14.0;2/2;Нет данных;3200000;Нет данных
229286852;1;Промышленный;30.2/18.2/6.2;4/5;Нет данных;1800000;Нет данных
229303450;1;Красноглинский;34.1/15.0/10.6;2/4; Кирпичный;1364000;Без ремонта
229303455;1;Красноглинский;43.9/18.0/12.0;2/4; Кирпичный;1756000;Без ремонта
229303456;1;Красноглинский;43.0/17.0/14.0;3/4; Кирпичный;1720000;Без ремонта
229316855;3;Самарский;66.0/36.0/7.0;1/2; Кирпичный;3100000;Косметический
229317282;3;Самарский;134.0/120.2;5/9;Нет данных;8000000;Без ремонта
229330441;3;Промышленный;112.0/61.0/15.0;7/16; Кирпичный;7798000;Дизайнерский
229336252;1;Промышленный;33.6/17.6/6.5;1/9;Нет данных;1350000;Нет данных
229381108;1;Октябрьский;51.4/21.0/22.0;4/4;Нет данных;3327000;Без ремонта
229566275;1;Промышленный;23.0/12.0/5.0;4/5;Нет данных;1550000;Нет данных
229566285;3;Самарский;95.4/58.4/8.1;1/3;Нет данных;4948500;Нет данных
229566287;3;Самарский;71.9/48.7/8.5;3/3;Нет данных;5990000;Нет данных
229640650;2;Железнодорожный;48.3/26.0/14.0;1/9;Нет данных;2800000;Нет данных
229702138;3;Железнодорожный;70.0;4/4;Нет данных;3150000;Нет данных
229736574;2;Самарский;60.0/38.0/9.0;1/1; Кирпичный;3500000;Дизайнерский
229744311;2;Самарский;57.7/31.0/8.7;2/8; Кирпичный;5490000;Косметический
229752497;2;Ленинский;45.3/27.0/7.7;7/9; Панельный;3590000;Косметический
229758680;2;Самарский;78.5/32.4/20.2;3/10; Кирпичный;6450000;Косметический
229930709;1;Самарский;35.0/16.0/7.5;1/5; Кирпичный;2600000;Косметический
230050011;3;Самарский;60.3/43.6/8.0;1/2; Кирпичный;1550000;Косметический
230052499;1;Куйбышевский;43.66;10/24; Кирпичный;1702740;Нет данных
230078281;1;Промышленный;40.0/16.5/12.0;10/10; Кирпичный;3250000;Евроремонт
230081193;1;Промышленный;38.0/19.0/6.0;9/9;Нет данных;1950000;Косметический
230120638;4;Октябрьский;206.0/136.0/18.6;16/18; Монолитный;36000000;Дизайнерский
230121719;3;Советский;132.3/65.2/21.2;8/10; Кирпичный;8000000;Дизайнерский
230174168;3;Октябрьский;83.7/53.5/14.5;2/17; Кирпичный;5990000;Косметический
230273699;3;Самарский;83.0/54.0/8.8;4/4; Кирпичный;5550000;Косметический
230313850;2;Железнодорожный;53.8/33.0/8.0;8/9; Панельный;3300000;Косметический
230394248;2;Железнодорожный;43.0/27.0/6.0;2/5; Панельный;2520000;Косметический
230577880;3;Самарский;178.8;1/3;Нет данных;11900000;Дизайнерский
230634654;1;Промышленный;25.4/13.5/8.5;7/9; Кирпичный;1750000;Косметический
230680479;4;Ленинский;158.5/110.0/15.0;2/5;Нет данных;17500000;Дизайнерский
230701386;5;Самарский;132.0/84.0/42.0;4/4;Нет данных;9500000;Нет данных
230708710;3;Железнодорожный;49.6/40.4/6.0;5/9; Кирпичный;2500000;Косметический
230740942;2;Железнодорожный;43.0/25.0/7.0;1/2; Кирпичный;1800000;Косметический
230955333;2;Ленинский;45.0/30.0/9.0;7/9; Панельный;3400000;Косметический
231028417;2;Железнодорожный;45.6/30.5/5.5;5/5; Панельный;2275000;Косметический
231034325;1;Октябрьский;55.5/19.6/15.4;9/24; Монолитный;3219000;Нет данных
231034328;2;Октябрьский;79.31/36.8/13.7;17/24; Монолитный;4679290;Нет данных
231034329;2;Октябрьский;74.3/34.6/13.2;18/24; Монолитный;4309400;Нет данных
231034332;1;Октябрьский;55.5/19.6/15.4;23/24; Монолитный;3385500;Нет данных
231034333;3;Октябрьский;92.98/52.8/11.5;23/24; Монолитный;5392840;Нет данных
231034334;2;Октябрьский;79.31/36.8/13.7;24/24; Монолитный;4679290;Нет данных
231034336;1;Октябрьский;55.37/19.6/15.4;4/24; Монолитный;3100720;Нет данных
231034337;2;Октябрьский;78.85;3/24; Монолитный;4257900;Нет данных
231034338;3;Октябрьский;93.32;3/24; Монолитный;5039280;Нет данных
231034340;3;Октябрьский;93.35;8/24; Монолитный;5227600;Нет данных
231034341;3;Октябрьский;93.09;12/24; Монолитный;5306130;Нет данных
231034342;2;Октябрьский;73.77;23/24; Монолитный;4278660;Нет данных
231034347;1;Железнодорожный;47.2;1/10; Кирпичный;2218400;Нет данных
231034349;1;Железнодорожный;41.4;8/10; Кирпичный;2600000;Нет данных
231034350;1;Железнодорожный;47.2;4/10; Кирпичный;2900000;Нет данных
231034354;1;Железнодорожный;47.28/18.6/11.6;6/8; Кирпичный;2694960;Нет данных
231037104;1;Промышленный;32.0/21.0/6.0;1/2; Кирпичный;1350000;Косметический
231110073;1;Промышленный;32.0/20.0/6.0;1/2; Кирпичный;1550000;Косметический
231155787;3;Ленинский;72.4/49.7/9.0;4/5;Нет данных;3800000;Без ремонта
231319347;5;Самарский;97.0/71.0/9.0;3/4;Нет данных;5200000;Нет данных
231326836;1;Самарский;30.0/16.0/7.0;2/2; Деревянный;1300000;Косметический
231334756;1;Самарский;35.0/17.0/7.0;1/4; Кирпичный;2550000;Косметический
231340336;1;Кировский;23.0/16.0/5.0;5/5; Кирпичный;1200000;Косметический
231405141;3;Кировский;69.0/35.0/30.0;3/24; Монолитный;4999999;Косметический
231415228;1;Самарский;62.0;3/7;Нет данных;4590000;Косметический
231433820;3;Промышленный;65.0;4/9;Нет данных;3300000;Нет данных
231472139;1;Кировский;33.5/18.0/6.5;1/5; Кирпичный;1540000;Косметический
231601835;1;Кировский;48.5/18.4/15.7;2/6; Кирпичный;1700000;Нет данных
231790147;3;Октябрьский;101.0/32.0/45.2;7/22; Монолитный;8200000;Дизайнерский
231812567;3;Кировский;59.9/39.5/7.0;3/9; Панельный;3400000;Косметический
231812953;1;Железнодорожный;41.6/20.4/7.9;1/10; Кирпичный;2950000;Косметический
231879415;1;Железнодорожный;41.6/20.5/8.0;1/10; Кирпичный;2950000;Косметический
231967379;2;Железнодорожный;43.2;4/5;Нет данных;3000000;Косметический
231967381;1;Железнодорожный;31.7;9/9;Нет данных;2240000;Косметический
231967395;2;Ленинский;35.0;4/9;Нет данных;2300000;Нет данных
231967411;2;Промышленный;27.0/3.0;4/5;Нет данных;1550000;Нет данных
232090894;2;Железнодорожный;64.76/36.6/10.1;1/8; Кирпичный;3432280;Нет данных
232090899;2;Железнодорожный;66.59/35.9/10.1;6/8; Кирпичный;3729040;Нет данных
232090900;2;Железнодорожный;67.76/36.6/10.1;6/8; Кирпичный;3794560;Нет данных
232090903;2;Железнодорожный;67.08/29.4/9.5;7/8; Кирпичный;3756480;Нет данных
232092838;4;Железнодорожный;78.7;2/13;Нет данных;5100000;Нет данных
232230174;3;Самарский;67.7/38.5/9.3;2/5;Нет данных;5200000;Нет данных
